Country Name,Year,FixedBroadbandPenetration,MobileBroadbandPenetration
Belgium,2017,38.4643757,75.506
Czechia,2017,29.8737051,82.881
Germany,2017,40.2209389,79.254
Denmark,2017,43.781535,128.778
France,2017,44.4000403,83.646
United Kingdom,2017,39.4210373,88.168
Greece,2017,35.3365828,65.785
Hungary,2017,30.2033182,48.79
Ireland,2017,29.3135121,101.106
Iceland,2017,39.1767938,113.102
Italy,2017,27.6421041,87.011
Lithuania,2017,27.501558,82.927
Luxembourg,2017,35.9896827,86.097
Latvia,2017,26.9186265,100.887
Netherlands,2017,42.3635504,90.269
Norway,2017,41.028239,98.327
Poland,2017,19.809294,94.372
Portugal,2017,34.67987,69.074
Slovak Republic,2017,25.8414139,82.779
Slovenia,2017,28.680056,70.507
Sweden,2017,38.3253548,120.73
Austria,2018,28.5187102,88.478
Belgium,2018,39.3318971,76.145
Czechia,2018,30.5928763,88.306
Germany,2018,41.1983042,82.78
Denmark,2018,43.9750664,139.675
France,2018,45.2722346,88.283
United Kingdom,2018,40.0209426,99.585
Greece,2018,37.259131,79.789
Hungary,2018,31.4999614,67.334
Ireland,2018,29.5823338,102.908
Iceland,2018,39.096349,115.941
Italy,2018,28.6550415,91.957
Lithuania,2018,27.4237795,98.544
Luxembourg,2018,36.896727,93.298
Latvia,2018,27.1743567,112.28
Netherlands,2018,42.8478654,116.237
Norway,2018,41.5234963,99.663
Poland,2018,20.3819451,108.386
Portugal,2018,36.7808036,73.645
Slovak Republic,2018,27.6775161,86.093
Slovenia,2018,29.0962542,77.89
Sweden,2018,38.7913049,124.428
Austria,2019,28.3661827,111.839
Belgium,2019,39.882541,87.364
Czechia,2019,35.4907448,92.682
Germany,2019,42.3237568,86.961
Denmark,2019,43.7639992,136.396
France,2019,46.2113531,93.241
United Kingdom,2019,40.2939298,104.921
Greece,2019,38.8809218,85.085
Hungary,2019,32.6417887,73.371
Ireland,2019,29.8722084,104.443
Iceland,2019,38.5950761,115.861
Italy,2019,29.2501153,95.041
Lithuania,2019,27.7429264,107.788
Luxembourg,2019,37.3725953,111.645
Latvia,2019,26.5541036,113.122
Netherlands,2019,42.9560586,119.197
Norway,2019,42.2679038,102.298
Poland,2019,20.3617167,116.998
Portugal,2019,38.559239,78.698
Slovak Republic,2019,29.163461,89.212
Slovenia,2019,29.7192676,83.654
Sweden,2019,39.3334211,125.746
Austria,2020,29.255335,113.826
Belgium,2020,40.9472954,89.553
Czechia,2020,36.5154572,94.473
Germany,2020,43.4606298,91.369
Denmark,2020,44.4634676,137.774
France,2020,47.4984101,95.227
United Kingdom,2020,40.7870393,108.969
Greece,2020,40.4959289,86.284
Hungary,2020,33.4883738,75.443
Ireland,2020,30.6598568,103.644
Iceland,2020,38.6768448,114.388
Italy,2020,30.4682531,94.776
Lithuania,2020,28.2512613,114.158
Luxembourg,2020,37.3077411,107.562
Latvia,2020,25.8595442,119.252
Netherlands,2020,43.1614982,127.68
Norway,2020,44.3816441,102.353
Poland,2020,21.7787506,124.588
Portugal,2020,40.4033252,80.046
Slovak Republic,2020,31.1830763,88.333
Slovenia,2020,30.7702297,86.811
Sweden,2020,40.3084781,125.828
Austria,2021,29.0515151,118.23
Belgium,2021,42.3779262,93.36
Czechia,2021,37.569593,97.535
Germany,2021,44.2167646,94.631
Denmark,2021,44.6880039,141.701
France,2021,48.7901681,99.551
United Kingdom,2021,41.350431,112.882
Greece,2021,42.4598853,92.81
Hungary,2021,34.8322404,82.208
Ireland,2021,31.6251635,107.963
Iceland,2021,38.6471708,118.779
Italy,2021,31.5435481,97
Lithuania,2021,28.7934514,121.513
Luxembourg,2021,38.0966682,111.321
Latvia,2021,26.137896,117.292
Netherlands,2021,43.5076578,133.722
Norway,2021,44.981391,104.043
Poland,2021,22.6572833,131.268
Portugal,2021,41.921456,88.586
Slovak Republic,2021,32.5769666,88.848
Slovenia,2021,31.6916972,91.283
Sweden,2021,40.6363101,127.246
Austria,2022,29.3215806,114.452
Belgium,2022,43.5129672,94.591
Czechia,2022,38.1479545,103.142
Germany,2022,44.9802934,92.132
Denmark,2022,44.8421619,141.775
France,2022,49.4037845,100.913
United Kingdom,2022,41.4848784,114.577
Greece,2022,42.8192529,98.269
Hungary,2022,35.4965052,86.232
Ireland,2022,32.0819102,115.976
Iceland,2022,38.1696872,123.721
Italy,2022,33.8469647,96.069
Lithuania,2022,29.3964666,127.709
Luxembourg,2022,38.6651307,114.299
Latvia,2022,26.4016824,117.822
Netherlands,2022,44.4659176,122.578
Norway,2022,45.7693043,102.864
Poland,2022,22.9683856,132.474
Portugal,2022,43.5502268,95.714
Slovak Republic,2022,32.9731106,88.995
Slovenia,2022,32.2191161,96.522
Sweden,2022,40.4036572,133.154
